,TEXT,Label
0,"Vacation wasted ! #vacation2017 #photobomb #tired #vacationwasted #mcgar30 #miami @ Port of…
",0
1,"Oh Wynwood, you’re so funny! : @user #Wynwood #Art #ItWas3AM #Flowers #Vibes @ Wynwood…
",1
2,"Been friends since 7th grade. Look at us now we all following our dreams doing what we love and…
",2
3,"This is what it looks like when someone loves you unconditionally oh Puppy Brother. #htx…
",3
4,"RT @user this white family was invited to a Black barbecue and i've never laughed so hard in my life
",3
5,"TRACK SEASON 2016, I'M READY FOR YA @ University of the Incarnate Word
",4
6,"Merry Christmas you filthy little animals. Wearing a @user ugly sweater featuring Santa…
",5
7,"Westenders @user #LAZzNation @ Weston, Toronto
",6
8,"Maxwell heads home @ Summa Akron City Hospital
",2
9,"Story On Saturday 136 Collins Ave, Miami Beach, FL 33139 Ladies Contact Me To Join Me In my…
",7
10,"I love my dog more than most humans @ North Gate
",8
11,"Dragged my loving husband to a live episode of #hellofromthemagictavern ️ @ Javits Center
",9
12,"Can't wait to meet you @user #wscatlanta #wscatlanta2017 #znation #addy @ Georgia…
",10
13,"Happy 4th ya'll! @ Sausalito, California
",11
14,"Two #socialbutterflies hanging @ the #beautyschool this ️ #Halloween day! Follow our journey…
",12
15,"#washingtondc @ Abraham Lincoln Memorial
",11
16,"H O M E I made it.18,546 km (11,524 mi)2 flights...25 hours flying time...5 meals...and 7…
",13
17,"#AladdinSF was shining, shimmering, and splendid! Such a talented cast @ SHN: Broadway in San…
",2
18,"California Days. ️.....#sandiego #california #visitcalifornia #nofilter #pachamama…
",12
19,"️Family ️ @ Wet'n'Wild Las Vegas
",9
20,"These have been SUCH A HIT ! READY TO RIDE Harley Davidson (TONS of cities from Hawaii to…
",7
21,"happiest in the sunshine and by the water @ Seneca Lake
",13
22,"You should have known (I was gonna show my glitter titts ) Amazing premiere for @user
",13
23,"LINK IN MY BIO #boombap #90s #webster #mcgels #naturaldoc #southbronx #realhiphop #rawshit…
",7
24,"something out of the ordinary @ Daly City, California
",13
25,"Baby Courtney... So hot right now ...#tbt #throwbackthursday #baby #babygirl…
",14
26,"And I'm quick, cut a nigga off, so don't get comfortable... #bodakyellow #cardib…
",7
27,"️ @ Put-in-Bay, South Bass Island
",9
28,"First day of the year was #2k17 #ashland #oregon #snowboarding @ Mt. Ashland Ski Area
",7
29,"See you all tomorrow, Monday, when our showrooms re-open for business after this #Thanksgiving…
",11
30,"A child is born @ Cambridge Christian School
",14
31,"can we talk about how handsome my best friend is? ️ @ Kilen Woods…
",9
32,"I think I'll keep him... #futurehusband celebrating Aunt Denice &amp; Uncle Steve 30th anniversary!…
",15
33,"Life is beautiful, but this lighting is more beautiful #lolz @user
",4
34,"#THIS . ️ This specially formulated hormone replacement cream was crucial for my wellbeing for…
",9
35,"Grateful for this one @ Oak Lawn, Illinois
",15
